,ID,Name,L2FC,p-value,L2FC,p-value,L2FC,p-value,L2FC,p-value,L2FC,p-value,L2FC,p-value,L2FC,p-value,L2FC,p-value,L2FC,p-value
129,ENSG00000146278,PNRC1,0.25,1e+00,0.94,1e-01,0.92,2e-01,-0.58,6e-01,-0.77,9e-01,0.67,4e-01,-0.25,1e+00,-3.20,3e-01,-1.72,6e-04
130,ENSG00000034510,TMSB10,0.25,1e+00,0.62,5e-01,0.54,8e-01,-0.35,9e-01,-1.62,4e-01,0.02,1e+00,0.26,1e+00,-2.76,4e-01,-0.44,6e-01
131,ENSG00000172115,CYCS,0.25,1e+00,0.24,9e-01,1.19,4e-02,-0.32,1e+00,-1.11,6e-01,-0.12,1e+00,-0.15,1e+00,-4.21,3e-01,-0.50,6e-01
132,ENSG00000260682,7SK,0.24,1e+00,-0.62,8e-01,0.25,1e+00,-0.03,1e+00,2.38,4e-03,-1.00,6e-01,-0.46,1e+00,-2.38,7e-01,-0.78,4e-01
133,ENSG00000131378,RFTN1,0.24,1e+00,-3.76,6e-08,-1.61,7e-02,1.12,5e-03,0.19,1e+00,-2.67,5e-04,0.24,1e+00,-5.15,3e-01,0.66,2e-01
134,ENSG00000089248,ERP29,0.23,1e+00,-0.69,6e-01,0.14,1e+00,0.32,9e-01,-0.96,7e-01,-0.22,1e+00,0.57,1e+00,-2.97,4e-01,-0.12,1e+00
135,ENSG00000121966,CXCR4,0.23,1e+00,1.04,6e-02,1.70,2e-04,-0.68,4e-01,-0.20,1e+00,-0.77,7e-01,-0.63,1e+00,-4.35,3e-01,-1.87,2e-04
136,ENSG00000140968,IRF8,0.23,1e+00,-4.27,2e-09,0.45,9e-01,1.13,5e-03,0.44,7e-01,-2.27,4e-03,-0.18,1e+00,-3.95,3e-01,-0.17,1e+00
137,ENSG00000257275,RP11-164H13.1,0.22,1e+00,-5.15,3e-11,-1.48,1e-01,1.40,2e-04,-0.40,1e+00,-3.39,2e-05,0.44,1e+00,-3.42,3e-01,0.37,6e-01
138,ENSG00000130066,SAT1,0.21,1e+00,-0.19,1e+00,1.24,3e-02,-0.25,1e+00,0.41,7e-01,0.22,1e+00,-0.27,1e+00,-5.57,3e-01,-1.01,9e-02
139,ENSG00000119801,YPEL5,0.21,1e+00,0.61,5e-01,1.13,6e-02,-0.07,1e+00,-0.26,1e+00,0.22,1e+00,-0.43,1e+00,-3.97,3e-01,-1.87,2e-04
140,ENSG00000127074,RGS13,0.20,1e+00,-5.84,6e-14,-3.79,5e-07,1.26,1e-03,0.03,1e+00,-3.91,4e-07,0.42,1e+00,-3.54,3e-01,0.79,1e-01
141,ENSG00000051108,HERPUD1,0.20,1e+00,-0.89,4e-01,1.00,1e-01,0.33,9e-01,0.56,6e-01,-0.76,7e-01,-0.53,1e+00,-4.66,3e-01,-0.29,9e-01
142,ENSG00000128016,ZFP36,0.16,1e+00,0.55,5e-01,1.37,7e-03,-0.80,3e-01,0.12,1e+00,0.47,7e-01,-0.38,1e+00,-3.35,3e-01,-1.37,1e-02
143,ENSG00000157106,SMG1,0.16,1e+00,0.01,1e+00,-0.06,1e+00,-0.01,1e+00,1.50,8e-02,0.17,1e+00,-0.71,1e+00,-2.68,4e-01,-0.41,8e-01
144,ENSG00000167552,TUBA1A,0.15,1e+00,0.61,4e-01,1.15,5e-02,-0.30,1e+00,-0.43,1e+00,0.23,1e+00,-0.65,1e+00,-2.68,4e-01,-1.03,8e-02
145,ENSG00000211450,C11orf31,0.11,1e+00,-0.99,3e-01,-0.20,1e+00,0.40,8e-01,-1.74,3e-01,-0.37,1e+00,0.48,1e+00,-3.39,3e-01,0.46,5e-01
146,ENSG00000196405,EVL,0.11,1e+00,0.88,1e-01,-0.47,1e+00,-0.04,1e+00,0.83,4e-01,0.77,3e-01,-0.48,1e+00,-2.83,4e-01,-1.37,1e-02
147,ENSG00000158517,NCF1,0.09,1e+00,-2.41,3e-04,0.05,1e+00,1.16,3e-03,0.14,1e+00,-2.52,9e-04,0.27,1e+00,-4.01,3e-01,-0.07,1e+00
148,ENSG00000198886,MT-ND4,0.08,1e+00,-0.31,1e+00,-0.36,1e+00,-0.70,4e-01,1.24,2e-01,-0.65,7e-01,-0.27,1e+00,2.83,2e-04,-0.57,5e-01
149,ENSG00000198763,MT-ND2,0.08,1e+00,0.05,1e+00,-0.19,1e+00,-0.87,2e-01,1.38,1e-01,-0.48,9e-01,-0.47,1e+00,2.91,1e-04,-1.09,4e-02
150,ENSG00000269028,MTRNR2L12,0.07,1e+00,-0.14,1e+00,-0.14,1e+00,-0.55,6e-01,1.37,1e-01,-0.18,1e+00,-0.45,1e+00,2.73,7e-04,-1.40,4e-03
151,ENSG00000171223,JUNB,0.07,1e+00,1.26,8e-03,1.37,8e-03,-1.12,3e-02,-0.87,8e-01,0.82,3e-01,-0.59,1e+00,-4.52,3e-01,-2.52,2e-07
152,ENSG00000271043,MTRNR2L2,0.06,1e+00,0.07,1e+00,0.27,1e+00,-0.43,8e-01,1.46,9e-02,0.20,1e+00,-0.34,1e+00,2.02,3e-01,-2.20,2e-05
153,ENSG00000120742,SERP1,0.06,1e+00,-0.53,8e-01,-0.01,1e+00,0.62,4e-01,-1.52,4e-01,-0.85,6e-01,0.41,1e+00,-3.79,3e-01,0.13,1e+00
154,ENSG00000166710,B2M,0.05,1e+00,0.61,5e-01,0.18,1e+00,-0.34,9e-01,-1.39,3e-01,1.12,5e-02,-0.04,1e+00,-3.67,3e-01,-0.81,2e-01
155,ENSG00000026508,CD44,0.05,1e+00,1.07,4e-02,0.12,1e+00,-0.51,7e-01,0.48,7e-01,0.75,3e-01,-0.07,1e+00,-2.83,4e-01,-1.44,7e-03
156,ENSG00000198840,MT-ND3,0.05,1e+00,-0.02,1e+00,-0.12,1e+00,-0.76,3e-01,1.26,2e-01,-0.38,1e+00,-0.40,1e+00,2.93,8e-05,-1.24,1e-02
157,ENSG00000087086,FTL,0.05,1e+00,-0.07,1e+00,1.35,9e-03,-0.13,1e+00,-2.05,2e-01,-0.23,1e+00,0.28,1e+00,-2.87,4e-01,-0.69,3e-01
158,ENSG00000132965,ALOX5AP,0.04,1e+00,-1.87,7e-03,-0.49,1e+00,0.99,2e-02,-1.78,3e-01,0.81,2e-01,0.45,1e+00,-5.39,3e-01,-0.83,2e-01
159,ENSG00000140941,MAP1LC3B,0.04,1e+00,-1.14,2e-01,0.04,1e+00,0.88,6e-02,-1.31,5e-01,-0.34,1e+00,0.00,1e+00,-4.27,3e-01,0.03,1e+00
160,ENSG00000158050,DUSP2,0.03,1e+00,0.96,1e-01,0.46,9e-01,-0.68,5e-01,-0.28,1e+00,0.65,5e-01,-0.18,1e+00,-4.10,3e-01,-0.61,5e-01
161,ENSG00000142669,SH3BGRL3,0.03,1e+00,-0.39,1e+00,-0.17,1e+00,0.33,9e-01,-2.12,2e-01,0.62,5e-01,0.39,1e+00,-3.37,3e-01,-0.21,1e+00
162,ENSG00000228253,MT-ATP8,0.02,1e+00,-0.67,7e-01,-0.26,1e+00,-0.51,8e-01,1.27,2e-01,-0.71,8e-01,-0.31,1e+00,2.86,2e-04,-0.53,6e-01
163,ENSG00000065809,FAM107B,0.02,1e+00,-0.70,6e-01,-1.06,5e-01,0.78,1e-01,-0.49,1e+00,0.14,1e+00,0.11,1e+00,-4.01,3e-01,0.06,1e+00
164,ENSG00000111229,ARPC3,0.02,1e+00,-1.48,4e-02,-0.09,1e+00,0.65,3e-01,-2.09,2e-01,-0.38,1e+00,0.59,1e+00,-4.11,3e-01,0.26,8e-01
165,ENSG00000241553,ARPC4,0.02,1e+00,-1.66,2e-02,-0.91,7e-01,0.69,3e-01,-1.21,6e-01,-0.60,9e-01,0.41,1e+00,-3.48,3e-01,0.70,1e-01
166,ENSG00000152518,ZFP36L2,0.01,1e+00,1.74,3e-05,0.40,9e-01,-0.58,6e-01,0.16,1e+00,0.38,8e-01,-0.90,1e+00,-2.94,4e-01,-1.97,9e-05
167,ENSG00000090382,LYZ,-7.04,7e-03,-4.70,1e-01,3.65,5e-05,-8.45,2e-07,-3.14,1e+00,-6.01,1e-01,1.11,1e+00,-3.57,1e+00,0.42,8e-01
168,ENSG00000169429,IL8,-6.68,2e-01,-5.34,4e-01,5.68,1e-08,-7.50,2e-03,-2.41,1e+00,-5.06,8e-01,-3.47,1e+00,-4.20,1e+00,-0.48,1e+00
169,ENSG00000183918,SH2D1A,-5.64,1e-08,0.64,5e-01,-6.18,4e-07,-5.12,2e-14,-1.23,7e-01,4.49,5e-33,-3.01,4e-02,-3.16,4e-01,-0.87,3e-01
170,ENSG00000124191,TOX2,-5.62,3e-08,-0.84,6e-01,-5.17,6e-06,-4.10,5e-11,-1.22,7e-01,5.54,3e-48,-2.99,5e-02,-2.56,6e-01,-1.75,7e-03
171,ENSG00000111796,KLRB1,-5.53,1e-06,1.75,2e-03,-2.35,7e-02,-4.33,1e-09,-3.27,2e-01,4.04,4e-20,-5.92,1e-03,-4.06,5e-01,-2.43,1e-03
172,ENSG00000125538,IL1B,-5.47,6e-02,-6.14,4e-02,4.92,4e-10,-6.28,9e-05,-1.97,1e+00,-5.85,1e-01,-1.41,1e+00,-2.99,1e+00,0.03,1e+00
173,ENSG00000176890,TYMS,-5.34,5e-07,-4.59,1e-05,-4.14,3e-04,-5.15,2e-12,-5.25,7e-02,-3.29,4e-03,-3.30,6e-02,-2.86,7e-01,6.89,7e-62
174,ENSG00000116824,CD2,-5.32,7e-11,2.10,2e-07,-3.04,3e-04,-5.55,7e-20,-1.45,5e-01,3.69,1e-24,-3.47,2e-03,-2.62,5e-01,-2.92,1e-07
175,ENSG00000008517,IL32,-5.23,5e-10,1.77,1e-04,-3.68,4e-05,-4.45,5e-15,-3.23,1e-01,3.92,1e-25,-4.81,1e-04,-3.44,4e-01,-1.79,3e-03
176,ENSG00000167286,CD3D,-4.89,3e-11,2.19,2e-08,-4.00,7e-07,-4.66,3e-19,-3.05,1e-01,3.62,2e-24,-3.55,9e-04,-3.70,3e-01,-2.41,4e-06
177,ENSG00000160654,CD3G,-4.84,2e-09,2.63,3e-12,-3.64,3e-05,-5.23,4e-18,-1.48,5e-01,3.12,2e-16,-3.80,1e-03,-3.95,3e-01,-2.08,2e-04
178,ENSG00000166803,KIAA0101,-4.82,9e-08,-4.22,3e-06,-4.69,8e-06,-2.74,1e-06,-4.47,7e-02,-2.70,7e-03,-3.35,1e-02,-2.67,6e-01,5.81,2e-59
179,ENSG00000196154,S100A4,-4.73,2e-09,1.94,6e-06,-0.03,1e+00,-4.02,4e-14,-3.31,1e-01,3.14,2e-15,-2.51,7e-02,-3.52,4e-01,-1.89,9e-04
180,ENSG00000198851,CD3E,-4.57,2e-09,2.71,2e-13,-3.70,1e-05,-5.39,1e-19,-2.74,1e-01,3.17,1e-17,-4.13,3e-04,-5.28,3e-01,-2.48,5e-06
181,ENSG00000163599,CTLA4,-4.39,6e-07,1.14,6e-02,-5.16,3e-06,-3.67,5e-10,-0.97,9e-01,4.40,4e-30,-4.26,2e-03,-2.13,8e-01,-2.49,9e-05
182,ENSG00000101439,CST3,-4.26,4e-03,-2.06,3e-01,3.17,7e-07,-3.83,3e-05,-1.65,1e+00,-0.88,1e+00,1.07,1e+00,-0.85,1e+00,0.08,1e+00
183,ENSG00000178573,MAF,-4.25,4e-06,0.22,1e+00,-4.02,2e-04,-4.55,6e-12,-0.48,1e+00,4.78,3e-33,-3.86,9e-03,-1.58,1e+00,-1.58,3e-02
184,ENSG00000082074,FYB,-4.17,1e-08,2.21,2e-08,-1.36,3e-01,-4.26,1e-15,-0.88,9e-01,3.09,2e-16,-2.09,2e-01,-2.93,4e-01,-2.01,2e-04
185,ENSG00000102970,CCL17,-4.00,3e-03,-5.35,2e-04,-6.56,1e-04,-1.55,2e-01,-5.33,2e-01,-5.39,1e-03,0.04,1e+00,-2.53,1e+00,4.30,2e-19
186,ENSG00000135046,ANXA1,-3.90,8e-06,4.82,2e-36,-0.60,1e+00,-6.19,1e-16,-0.36,1e+00,-0.84,8e-01,-3.58,1e-02,-3.90,4e-01,-2.33,4e-04
187,ENSG00000161570,CCL5,-3.85,3e-04,4.20,4e-21,-2.38,1e-01,-3.80,9e-08,-0.88,1e+00,0.19,1e+00,-3.56,8e-02,-3.71,7e-01,-0.65,7e-01
188,ENSG00000078596,ITM2A,-3.82,4e-07,0.66,4e-01,-3.12,3e-04,-4.34,5e-15,-2.70,2e-01,4.31,1e-32,-3.02,1e-02,-3.01,5e-01,-0.79,3e-01
189,ENSG00000181847,TIGIT,-3.81,1e-06,0.34,8e-01,-6.83,7e-09,-2.76,1e-07,-2.00,3e-01,4.60,1e-37,-3.66,2e-03,-2.80,5e-01,-1.26,5e-02
190,ENSG00000173762,CD7,-3.78,9e-07,2.86,2e-14,-3.61,5e-05,-4.04,3e-13,-2.76,2e-01,2.98,3e-14,-3.45,3e-03,-4.78,3e-01,-3.03,2e-07
191,ENSG00000213658,LAT,-3.74,2e-06,1.33,8e-03,-3.46,1e-04,-4.56,2e-14,-1.05,7e-01,3.93,5e-27,-1.68,7e-01,-3.45,4e-01,-1.52,1e-02
192,ENSG00000127152,BCL11B,-3.30,5e-05,3.70,5e-23,-3.51,3e-04,-5.00,2e-14,-0.14,1e+00,1.87,1e-04,-3.35,1e-02,-4.31,3e-01,-3.00,2e-06
193,ENSG00000010810,FYN,-3.29,1e-05,2.03,1e-06,-1.31,3e-01,-4.60,6e-15,-0.21,1e+00,3.18,1e-16,-3.32,5e-03,-1.63,9e-01,-1.85,1e-03
194,ENSG00000107317,PTGDS,-3.11,3e-01,-4.79,4e-02,3.24,7e-05,-3.39,8e-03,0.01,9e-01,0.88,6e-01,-4.51,9e-01,0.57,8e-01,0.17,1e+00
195,ENSG00000168685,IL7R,-3.09,2e-04,5.53,1e-50,-2.64,9e-03,-7.84,5e-19,-0.07,1e+00,-0.87,7e-01,-4.40,1e-03,-3.55,4e-01,-4.17,2e-09
196,ENSG00000117632,STMN1,-2.50,6e-04,-2.50,9e-04,-2.12,2e-02,-1.67,2e-03,-2.45,2e-01,-2.19,2e-02,-2.44,8e-02,-3.19,4e-01,4.26,4e-41
197,ENSG00000137804,NUSAP1,-2.35,9e-03,-3.04,6e-04,-3.19,2e-03,-2.16,2e-04,-1.96,4e-01,-1.51,3e-01,-2.25,4e-01,-4.51,3e-01,4.52,1e-37
198,ENSG00000126264,HCST,-2.28,9e-04,2.30,8e-10,-0.51,1e+00,-1.54,2e-03,-2.42,2e-01,2.11,5e-07,-1.60,6e-01,-3.15,4e-01,-1.40,1e-02
199,ENSG00000196230,TUBB,-2.20,3e-03,-2.40,1e-03,-2.56,2e-03,-1.80,4e-04,-2.23,3e-01,-1.43,2e-01,-1.39,1e+00,-2.92,4e-01,4.00,2e-37
200,ENSG00000132646,PCNA,-1.99,1e-02,-1.25,2e-01,-1.25,4e-01,-1.22,4e-02,-2.46,2e-01,-1.03,5e-01,-1.30,1e+00,-2.67,5e-01,3.28,4e-25
201,ENSG00000084207,GSTP1,-1.98,8e-03,-1.36,1e-01,0.66,6e-01,-0.84,3e-01,-3.34,8e-02,-1.39,2e-01,-0.75,1e+00,-2.54,5e-01,2.44,5e-13
202,ENSG00000163191,S100A11,-1.96,3e-02,0.01,1e+00,0.62,7e-01,-1.51,9e-03,-2.21,3e-01,2.75,5e-11,-0.98,1e+00,-1.15,1e+00,-0.41,8e-01
203,ENSG00000118503,TNFAIP3,-1.96,9e-03,3.35,2e-21,-0.58,1e+00,-2.29,1e-06,-0.67,1e+00,0.65,5e-01,-2.21,1e-01,-3.68,3e-01,-1.20,4e-02
204,ENSG00000182866,LCK,-1.86,2e-02,1.19,2e-02,-2.09,2e-02,-0.98,1e-01,-1.07,7e-01,2.79,3e-13,-1.04,1e+00,-4.06,3e-01,-0.85,2e-01
205,ENSG00000129277,CCL4,-1.83,3e-01,3.14,2e-09,0.27,1e+00,-2.67,7e-04,0.26,8e-01,0.51,8e-01,-1.66,1e+00,-3.54,1e+00,-1.87,5e-02
206,ENSG00000197061,HIST1H4C,-1.79,3e-02,-0.80,6e-01,-0.88,8e-01,-1.65,1e-03,-1.95,3e-01,-1.07,5e-01,-1.76,5e-01,-4.57,3e-01,3.26,2e-24
207,ENSG00000128951,DUT,-1.70,3e-02,-1.28,2e-01,-1.69,7e-02,-1.33,1e-02,-1.38,5e-01,-0.84,7e-01,-0.87,1e+00,-3.69,3e-01,3.16,2e-23
208,ENSG00000134333,LDHA,-1.64,3e-02,0.28,9e-01,-0.37,1e+00,-1.22,2e-02,-1.74,3e-01,0.37,8e-01,-1.07,1e+00,-3.38,3e-01,2.02,2e-09
209,ENSG00000164611,PTTG1,-1.61,8e-02,-1.99,1e-02,-2.77,2e-03,-1.28,3e-02,-2.40,2e-01,-0.14,1e+00,-1.46,1e+00,-2.93,4e-01,3.35,5e-25
210,ENSG00000074800,ENO1,-1.60,4e-02,-0.97,4e-01,-0.99,6e-01,-0.44,8e-01,-2.54,1e-01,0.33,9e-01,-0.62,1e+00,-3.81,3e-01,2.19,3e-11
211,ENSG00000135048,TMEM2,-1.57,7e-02,2.01,7e-07,0.49,9e-01,-3.07,5e-10,0.23,9e-01,2.15,4e-07,-2.30,9e-02,-2.56,5e-01,-1.95,4e-04
212,ENSG00000172725,CORO1B,-1.56,8e-02,-0.54,9e-01,-2.74,1e-03,-1.40,9e-03,-2.58,2e-01,3.68,1e-24,-1.09,1e+00,-3.28,4e-01,-0.40,8e-01
213,ENSG00000148908,RGS10,-1.54,6e-02,0.75,3e-01,-0.88,7e-01,-0.16,1e+00,-3.07,8e-02,1.32,1e-02,-0.04,1e+00,-2.93,4e-01,0.41,5e-01
214,ENSG00000164104,HMGB2,-1.48,1e-01,-1.45,9e-02,-1.61,1e-01,-1.70,7e-04,-1.89,3e-01,-1.18,4e-01,-1.59,8e-01,-3.48,3e-01,3.50,9e-29
215,ENSG00000111716,LDHB,-1.48,7e-02,0.76,2e-01,-1.59,8e-02,-0.33,1e+00,-3.32,6e-02,-0.11,1e+00,-0.49,1e+00,-3.94,3e-01,1.67,2e-06
216,ENSG00000164687,FABP5,-1.45,1e-01,-0.46,9e-01,-1.23,4e-01,-0.44,9e-01,-2.18,3e-01,-0.07,1e+00,-0.66,1e+00,-1.07,1e+00,2.15,9e-10
217,ENSG00000197956,S100A6,-1.39,1e-01,2.05,2e-07,0.96,2e-01,-1.50,3e-03,-1.45,5e-01,0.98,1e-01,-0.93,1e+00,-1.99,7e-01,-1.16,5e-02
218,ENSG00000111640,GAPDH,-1.39,7e-02,-1.54,4e-02,-1.83,2e-02,0.20,1e+00,-2.91,9e-02,0.20,1e+00,-0.14,1e+00,-3.55,3e-01,1.89,2e-08
219,ENSG00000067225,PKM,-1.37,1e-01,-1.45,7e-02,-1.41,2e-01,-0.42,9e-01,-1.25,6e-01,0.51,7e-01,-0.89,1e+00,-3.59,3e-01,2.21,3e-11
220,ENSG00000139193,CD27,-1.37,1e-01,0.06,1e+00,-2.46,2e-03,0.65,3e-01,-1.50,4e-01,1.44,3e-03,-0.36,1e+00,-3.31,3e-01,0.22,9e-01
221,ENSG00000136156,ITM2B,-1.31,2e-01,1.77,1e-05,0.45,9e-01,-1.21,3e-02,-1.59,4e-01,1.77,6e-05,-1.01,1e+00,-3.23,3e-01,-1.47,6e-03
222,ENSG00000184557,SOCS3,-1.26,3e-01,2.15,6e-08,1.30,2e-02,-2.32,2e-06,-0.27,1e+00,1.08,8e-02,-1.34,1e+00,-2.17,6e-01,-2.11,1e-04
223,ENSG00000217555,CKLF,-1.25,3e-01,0.55,5e-01,-0.13,1e+00,-1.17,5e-02,-2.57,2e-01,2.64,4e-11,-1.14,1e+00,-3.96,3e-01,-0.36,9e-01
224,ENSG00000137106,GRHPR,-1.25,2e-01,-2.95,2e-05,-2.09,1e-02,0.64,3e-01,-1.42,5e-01,-1.47,1e-01,-0.09,1e+00,-4.10,3e-01,2.03,7e-10
225,ENSG00000160014,CALM3,-1.23,2e-01,-0.36,1e+00,-1.35,2e-01,-0.64,5e-01,-2.43,2e-01,1.12,5e-02,-0.62,1e+00,-4.45,3e-01,1.71,1e-06
226,ENSG00000254709,IGLL5,-1.21,4e-01,-4.63,1e-07,2.88,9e-12,0.35,9e-01,-1.30,7e-01,-2.37,2e-02,0.24,1e+00,-4.66,3e-01,-1.62,1e-02
227,ENSG00000099901,RANBP1,-1.20,3e-01,-0.93,4e-01,-0.78,8e-01,-1.00,1e-01,-2.08,2e-01,-0.01,1e+00,-0.79,1e+00,-2.51,5e-01,2.46,8e-15
228,ENSG00000137309,HMGA1,-1.20,2e-01,-1.42,7e-02,-1.35,2e-01,0.06,1e+00,-1.87,3e-01,-0.94,5e-01,-0.37,1e+00,-3.46,3e-01,2.22,2e-11
229,ENSG00000170515,PA2G4,-1.19,3e-01,-0.02,1e+00,-0.69,9e-01,-0.71,4e-01,-1.12,7e-01,0.13,1e+00,-0.68,1e+00,-3.52,3e-01,1.90,2e-08
230,ENSG00000204389,HSPA1A,-1.17,7e-01,0.89,3e-01,2.24,2e-04,-2.07,5e-03,1.68,1e-01,0.19,1e+00,-2.04,1e+00,-3.68,7e-01,-1.57,7e-02
231,ENSG00000111669,TPI1,-1.15,3e-01,-1.00,3e-01,-0.87,7e-01,-0.09,1e+00,-1.82,3e-01,0.12,1e+00,-0.48,1e+00,-4.21,3e-01,1.87,5e-08
232,ENSG00000178741,COX5A,-1.15,3e-01,-1.29,1e-01,-0.85,7e-01,0.30,9e-01,-2.71,1e-01,-0.07,1e+00,-0.22,1e+00,-2.85,4e-01,1.65,3e-06
233,ENSG00000105968,H2AFV,-1.12,3e-01,-0.78,5e-01,-1.06,5e-01,-0.30,1e+00,-1.31,5e-01,0.06,1e+00,-0.54,1e+00,-3.04,4e-01,1.97,5e-09
234,ENSG00000189403,HMGB1,-1.11,2e-01,-1.22,1e-01,-0.87,7e-01,-0.51,7e-01,-1.30,5e-01,-0.40,1e+00,-0.76,1e+00,-3.54,3e-01,2.34,2e-13
235,ENSG00000108561,C1QBP,-1.11,3e-01,-0.77,6e-01,-1.07,5e-01,-0.07,1e+00,-2.58,1e-01,-0.36,1e+00,0.06,1e+00,-3.88,3e-01,1.85,5e-08
236,ENSG00000117450,PRDX1,-1.10,3e-01,-0.93,4e-01,-0.33,1e+00,-0.28,1e+00,-2.13,2e-01,0.40,8e-01,-0.44,1e+00,-5.59,3e-01,1.70,1e-06
237,ENSG00000123416,TUBA1B,-1.09,4e-01,-1.11,2e-01,-0.48,1e+00,-1.33,8e-03,-1.20,6e-01,-1.26,2e-01,-1.33,1e+00,-3.69,3e-01,2.87,2e-20
238,ENSG00000164032,H2AFZ,-1.07,4e-01,-0.66,7e-01,-0.59,1e+00,-0.83,2e-01,-1.86,3e-01,0.23,1e+00,-1.00,1e+00,-3.69,3e-01,2.18,2e-11
239,ENSG00000167815,PRDX2,-1.04,4e-01,-0.44,9e-01,-1.43,1e-01,0.01,1e+00,-2.95,9e-02,0.47,7e-01,-0.29,1e+00,-3.15,3e-01,1.56,8e-06
240,ENSG00000175130,MARCKSL1,-1.03,4e-01,-0.91,4e-01,0.42,9e-01,1.13,5e-03,-1.69,4e-01,-1.64,7e-02,-0.40,1e+00,-4.68,3e-01,0.58,3e-01
241,ENSG00000182004,SNRPE,-1.03,4e-01,-0.96,4e-01,-0.84,7e-01,-0.16,1e+00,-3.09,8e-02,-0.23,1e+00,-0.28,1e+00,-4.41,3e-01,1.98,5e-09
242,ENSG00000099860,GADD45B,-0.99,5e-01,0.69,3e-01,1.77,1e-04,-0.09,1e+00,-0.81,9e-01,-0.43,1e+00,-1.31,1e+00,-5.27,3e-01,-0.47,7e-01
243,ENSG00000132507,EIF5A,-0.97,5e-01,-0.21,1e+00,-0.33,1e+00,-0.56,7e-01,-1.60,4e-01,-0.05,1e+00,-0.54,1e+00,-4.08,3e-01,1.79,2e-07
244,ENSG00000100906,NFKBIA,-0.96,5e-01,0.88,1e-01,1.24,3e-02,-0.95,1e-01,-0.89,8e-01,1.20,3e-02,-0.66,1e+00,-3.74,3e-01,-0.64,5e-01
245,ENSG00000132341,RAN,-0.93,5e-01,-1.19,2e-01,-0.92,7e-01,-0.46,8e-01,-2.01,2e-01,-0.13,1e+00,-0.59,1e+00,-3.14,3e-01,2.20,1e-11
246,ENSG00000154518,ATP5G3,-0.93,5e-01,-1.07,3e-01,-1.10,4e-01,0.29,9e-01,-2.96,8e-02,0.07,1e+00,-0.22,1e+00,-3.62,3e-01,1.57,1e-05
247,ENSG00000141682,PMAIP1,-0.90,6e-01,-0.57,8e-01,1.84,7e-05,-0.12,1e+00,-0.20,1e+00,0.56,6e-01,-1.10,1e+00,-4.41,3e-01,-0.44,8e-01
248,ENSG00000136938,ANP32B,-0.89,5e-01,-0.45,9e-01,-0.87,7e-01,-0.14,1e+00,-1.49,4e-01,0.21,1e+00,-0.46,1e+00,-3.78,3e-01,1.61,5e-06
249,ENSG00000112306,RPS12,-0.89,5e-01,1.20,1e-02,0.24,1e+00,-0.29,1e+00,-2.95,8e-02,0.17,1e+00,0.05,1e+00,-4.03,3e-01,0.13,1e+00
250,ENSG00000185088,RPS27L,-0.87,6e-01,-0.93,4e-01,-1.02,6e-01,-0.11,1e+00,-1.89,3e-01,-0.12,1e+00,-0.45,1e+00,-2.41,5e-01,1.88,5e-08
251,ENSG00000167088,SNRPD1,-0.86,6e-01,-1.28,1e-01,-1.05,5e-01,-0.24,1e+00,-2.05,2e-01,-0.28,1e+00,-0.30,1e+00,-2.62,4e-01,2.06,3e-10
252,ENSG00000100632,ERH,-0.86,6e-01,-1.04,3e-01,-0.96,6e-01,-0.16,1e+00,-2.37,2e-01,0.24,1e+00,-0.42,1e+00,-2.73,4e-01,1.82,7e-08
253,ENSG00000111639,MRPL51,-0.85,6e-01,-1.32,1e-01,-0.85,7e-01,-0.06,1e+00,-2.00,3e-01,0.07,1e+00,-0.12,1e+00,-2.63,4e-01,1.73,4e-07
254,ENSG00000137818,RPLP1,-0.83,5e-01,0.71,3e-01,0.18,1e+00,-0.28,1e+00,-2.75,1e-01,0.80,3e-01,0.05,1e+00,-3.85,3e-01,0.17,1e+00
255,ENSG00000026025,VIM,-0.82,7e-01,0.99,1e-01,0.55,8e-01,-1.19,5e-02,-0.79,1e+00,-0.57,1e+00,-0.34,1e+00,-0.19,1e+00,0.89,8e-02
256,ENSG00000107742,SPOCK2,-0.81,7e-01,1.34,6e-03,-1.56,2e-01,-1.71,1e-03,-0.42,1e+00,2.96,2e-14,-1.17,1e+00,-2.47,5e-01,-2.52,8e-06
257,ENSG00000124795,DEK,-0.80,7e-01,-0.79,5e-01,-0.93,7e-01,-0.38,9e-01,-1.99,3e-01,-0.03,1e+00,-0.57,1e+00,-4.21,3e-01,2.00,2e-09
258,ENSG00000184007,PTP4A2,-0.80,7e-01,0.24,9e-01,0.11,1e+00,-0.69,5e-01,-0.56,1e+00,1.54,1e-03,-0.73,1e+00,-3.44,3e-01,0.36,6e-01
259,ENSG00000100387,RBX1,-0.79,7e-01,-1.08,3e-01,-1.03,5e-01,0.07,1e+00,-1.77,3e-01,0.04,1e+00,-0.23,1e+00,-3.26,3e-01,1.66,2e-06
260,ENSG00000081059,TCF7,-0.78,7e-01,1.80,1e-05,-1.36,2e-01,-1.11,6e-02,0.06,1e+00,1.98,4e-06,-1.22,1e+00,-2.27,5e-01,-1.43,1e-02
261,ENSG00000184009,ACTG1,-0.78,6e-01,-1.09,2e-01,-1.41,9e-02,0.74,2e-01,-1.87,3e-01,-0.17,1e+00,0.23,1e+00,-3.98,3e-01,1.04,1e-02
