,ID,Name,L2FC,p-value,L2FC,p-value,L2FC,p-value,L2FC,p-value,L2FC,p-value,L2FC,p-value,L2FC,p-value,L2FC,p-value,L2FC,p-value
30,ENSG00000196352,CD55,0.91,2e-01,-0.67,7e-01,0.68,6e-01,0.33,8e-01,0.64,5e-01,-3.33,2e-05,-0.01,1e+00,-4.76,3e-01,-0.77,3e-01
31,ENSG00000251562,MALAT1,0.91,2e-01,0.09,1e+00,0.07,1e+00,-0.07,1e+00,1.24,2e-01,-0.26,1e+00,-0.08,1e+00,-4.33,3e-01,-1.75,2e-04
32,ENSG00000120738,EGR1,0.90,3e-01,-0.02,1e+00,1.89,7e-05,-1.00,2e-01,0.42,7e-01,-1.46,2e-01,-0.06,1e+00,-3.06,4e-01,-1.91,8e-04
33,ENSG00000114784,EIF1B,0.90,2e-01,-1.30,1e-01,0.03,1e+00,0.53,6e-01,-0.64,1e+00,-0.94,5e-01,0.28,1e+00,-4.07,3e-01,-0.35,9e-01
34,ENSG00000059804,SLC2A3,0.89,3e-01,0.67,4e-01,0.80,4e-01,-0.51,7e-01,1.11,2e-01,-0.83,6e-01,-0.01,1e+00,-4.45,3e-01,-2.80,2e-08
35,ENSG00000204388,HSPA1B,0.89,3e-01,0.29,9e-01,1.12,1e-01,-0.86,4e-01,1.21,2e-01,-0.10,1e+00,-0.37,1e+00,-3.92,4e-01,-2.28,1e-04
36,ENSG00000080824,HSP90AA1,0.87,3e-01,-0.72,5e-01,0.05,1e+00,0.05,1e+00,0.74,5e-01,-0.65,7e-01,-0.09,1e+00,-3.90,3e-01,-0.26,9e-01
37,ENSG00000184203,PPP1R2,0.86,2e-01,-0.50,9e-01,-0.46,1e+00,0.18,1e+00,0.10,1e+00,-0.15,1e+00,0.25,1e+00,-3.36,3e-01,-0.44,7e-01
38,ENSG00000196776,CD47,0.86,2e-01,-1.25,1e-01,-0.39,1e+00,0.49,6e-01,0.77,4e-01,-1.06,4e-01,0.15,1e+00,-4.33,3e-01,-0.37,8e-01
39,ENSG00000110848,CD69,0.85,3e-01,0.62,5e-01,1.24,3e-02,-0.78,3e-01,0.22,9e-01,-0.58,9e-01,-0.09,1e+00,-5.23,3e-01,-1.90,2e-04
40,ENSG00000242574,HLA-DMB,0.85,3e-01,-4.52,3e-10,0.26,1e+00,0.70,2e-01,0.79,4e-01,-3.57,4e-06,0.07,1e+00,-3.63,3e-01,-0.17,1e+00
41,ENSG00000143384,MCL1,0.83,3e-01,-0.04,1e+00,0.13,1e+00,0.08,1e+00,0.30,8e-01,0.05,1e+00,-0.11,1e+00,-4.77,3e-01,-1.06,6e-02
42,ENSG00000114861,FOXP1,0.83,3e-01,-0.75,6e-01,-0.60,1e+00,0.68,3e-01,0.80,4e-01,-1.78,3e-02,0.32,1e+00,-4.62,3e-01,-0.78,2e-01
43,ENSG00000164548,TRA2A,0.80,4e-01,-1.24,1e-01,-0.32,1e+00,0.48,7e-01,0.66,5e-01,-0.85,6e-01,0.15,1e+00,-3.43,3e-01,-0.36,8e-01
44,ENSG00000173193,PARP14,0.79,4e-01,-1.82,1e-02,0.51,8e-01,0.01,1e+00,1.71,5e-02,-2.08,1e-02,0.04,1e+00,-3.51,3e-01,-0.44,7e-01
45,ENSG00000173575,CHD2,0.79,3e-01,0.42,7e-01,0.22,1e+00,-0.52,7e-01,1.06,2e-01,0.39,8e-01,-0.24,1e+00,-2.46,5e-01,-1.66,1e-03
46,ENSG00000067066,SP100,0.78,4e-01,-1.18,2e-01,-0.11,1e+00,0.42,7e-01,0.93,3e-01,-0.87,6e-01,-0.18,1e+00,-2.33,5e-01,-0.35,9e-01
47,ENSG00000244754,N4BP2L2,0.78,4e-01,-0.22,1e+00,-0.08,1e+00,0.05,1e+00,1.40,1e-01,-0.04,1e+00,-0.10,1e+00,-4.73,3e-01,-1.42,7e-03
48,ENSG00000134884,ARGLU1,0.77,4e-01,-0.59,7e-01,-0.35,1e+00,0.15,1e+00,1.00,3e-01,-0.10,1e+00,-0.24,1e+00,-2.83,4e-01,-0.47,7e-01
49,ENSG00000198625,MDM4,0.77,4e-01,-0.95,4e-01,-0.13,1e+00,0.33,8e-01,1.57,7e-02,-0.94,5e-01,-0.11,1e+00,-3.02,4e-01,-0.84,2e-01
